


江苏移动,#genre# 

黑龙江卫视,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228233/index.m3u8
黑龙江卫视,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227638/index.m3u8
CCTV13,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228224/index.m3u8
CCTV15HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227723/index.m3u8

凤凰中文,http://ott.js.chinamobile.com/TVOD/3/224/3221228057/index.m3u8
凤凰资讯,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228098/index.m3u8
凤凰香港,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228060/index.m3u8
凤凰中文,http://ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰中文,http://ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰资讯,http://ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰资讯,http://ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰香港,http://ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
凤凰香港,http://ott.js.chinamobile.com/PLTV/3/224/3221226975/index.m3u8

CCTV4KHEVC14M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3//224/3221228242/index.m3u8
CCTV16-4K 34M2160HDR,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228127/index.m3u8
CCTV16-4K 25M2160,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228168/index.m3u8
4K修复 7M2160HEVC,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228141/index.m3u8
4K电影 4M2160,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228113/index.m3u8
江苏无标4K 2M2160,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3//224/3221227896/index.m3u8
纯享4K 21M2160HDR,http://ott.js.chinamobile.com/TVOD/3/224/3221228165/index.m3u8
纯享4K 16M2160,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227506/index.m3u8
SiTV欢笑剧场 12M2160,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227715/index.m3u8

CCTV1HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228146/index.m3u8
CCTV1HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227725/index.m3u8
CCTV2HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228118/index.m3u8
CCTV3HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228188/index.m3u8
CCTV4HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228156/index.m3u8
CCTV5HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228082/index.m3u8
CCTV5HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228173/index.m3u8
CCTV5+HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228076/index.m3u8
CCTV5+HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228114/index.m3u8
CCTV6HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228185/index.m3u8
CCTV6HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227581/index.m3u8
CCTV8HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228079/index.m3u8
北京卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228115/index.m3u8
湖南卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228227/index.m3u8
辽宁卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228162/index.m3u8
广东卫视HEVC8M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228230/index.m3u8
